feature,mean_abs_shap
card1_encoded,1.929504
card1_count,0.58181185
C13,0.3878236
amount_card_zscore,0.2926868
TransactionAmt,0.27725178
C1,0.27425653
card1,0.26245925
tx_day_abs,0.24337189
addr1_encoded,0.23923911
C14,0.22852468
C5,0.22488227
D1,0.2064356
addr1,0.20486283
addr1_count,0.20051183
card2_encoded,0.1975574
tx_hour,0.19577032
card2,0.18719801
C11,0.16933174
D15,0.1678654
card2_count,0.16612284
amount_cents,0.14508869
D4,0.14287709
D10,0.13923098
M6,0.13792408
dist1,0.13769765
C2,0.13479564
C6,0.13318688
M5,0.12565646
V_pca_1,0.1230258
V_pca_17,0.116248935
D11,0.1158819
P_emaildomain_encoded,0.114787236
tx_day,0.106737845
V_pca_29,0.106505215
C9,0.10224077
V_pca_4,0.10045447
V_pca_14,0.100270964
D2,0.10000203
P_emaildomain,0.09464815
V_pca_12,0.09140903
R_emaildomain_encoded,0.08628948
D3,0.085292995
V_pca_20,0.077614635
V_pca_21,0.07634615
pemail_count,0.07301265
M7,0.06968829
V_pca_6,0.068932906
M4,0.066169
V_pca_7,0.06494941
card5_encoded,0.06429814
V_pca_19,0.063751996
V_pca_13,0.063740075
card5,0.06264103
M3,0.06081375
V_pca_25,0.06080564
V_pca_27,0.059349176
V_pca_18,0.058871657
V_pca_24,0.05870942
V_pca_28,0.057615906
V_pca_3,0.057526007
V_pca_5,0.057452057
V_pca_23,0.056144696
V_pca_15,0.055817142
D5,0.055565495
C10,0.05416887
id_20,0.05398675
V_pca_22,0.053264905
V_pca_9,0.052090857
V_pca_26,0.051965304
ProductCD,0.05081724
log_amount,0.0486885
V_pca_2,0.048028305
V_pca_16,0.046562515
id_31,0.045760285
V_pca_11,0.045383878
D8,0.041159898
id_02,0.040503297
V_pca_10,0.04003621
V_pca_8,0.039565943
id_19,0.039455958
C8,0.03675536
id_05,0.0337214
M8,0.03314528
DeviceInfo,0.029412717
C12,0.027919337
card6,0.026489558
id_30,0.025888678
card4,0.025429118
id_15,0.023204997
id_06,0.023194904
id_01,0.022420736
D13,0.022345377
V_pca_0,0.021713156
card3_encoded,0.021577278
M9,0.021421144
M2,0.020675201
id_13,0.02065365
R_emaildomain,0.01985205
id_36,0.01858919
id_14,0.017739557
C4,0.01708263
id_33,0.016618954
D9,0.013796184
id_38,0.013727185
DeviceType,0.0127411755
id_09,0.01228997
is_round_amount,0.008748325
id_17,0.007689583
id_37,0.007378818
id_03,0.0062663215
M1,0.0058158822
is_weekend,0.005497421
is_night,0.005431351
D12,0.0053088977
D6,0.005027124
C7,0.004672176
id_16,0.004400332
C3,0.0042679305
id_29,0.0039053468
id_12,0.0038241027
D14,0.0037003397
id_34,0.0036492783
id_32,0.003606036
id_11,0.0036043918
card3,0.0022739614
addr2,0.0016057442
id_28,0.0014779575
addr2_encoded,0.0010722094
id_04,0.0008979894
id_35,0.0006222847
id_10,0.0003042818
