feature,ks_stat,p_value,drifted
TransactionAmt,0.0178,0.0,True
ProductCD,0.0244,0.0,True
card1,0.0128,0.0048,True
card2,0.0136,0.0021,True
card3,0.0082,0.1686,False
card4,0.0324,0.0,True
card5,0.0193,0.0,True
card6,0.008,0.1823,False
addr1,0.0136,0.0022,True
addr2,0.0022,1.0,False
dist1,0.0153,0.0003,True
P_emaildomain,0.0145,0.0008,True
R_emaildomain,0.0159,0.0002,True
C1,0.0096,0.0674,False
C2,0.0121,0.009,True
C3,0.0064,0.426,False
C4,0.0245,0.0,True
C5,0.0122,0.0082,True
C6,0.0103,0.0383,True
C7,0.0096,0.0654,False
